browser_version,browser
Chrome Mobile 53.0,chrome mobile
Chrome Mobile 54.0,chrome mobile
Chrome 42.0,chrome
Edge Mobile 15.15063,edge mobile
Chrome Mobile 40.0,chrome mobile
Chrome 43.0,chrome
Chrome 44.0,chrome
Chrome 59.0,chrome
UC Browser 7.0,uc
Samsung Internet 3.3,samsung
Chrome 46.0,chrome
Chrome 23.0,chrome
Android 2.3,android
Facebook 164,facebook
Mobile Safari 7,mobile safari
Chromium 66.0,chromium
Chrome Mobile 44.0,chrome mobile
Android 4.0,android
Opera 50.0,opera
Firefox 17,firefox
Opera Mini 8.0,opera
Facebook 111,facebook
Opera Mobile 35.0,opera mobile
IE 9,ie
Firefox 58,firefox
Chrome Mobile iOS 65.0,chrome mobile
Facebook 170.1,facebook
Facebook 168,facebook
Chrome Mobile iOS 47.0,chrome mobile
Chrome 45.0,chrome
WebKit Nightly 535.20,other
Chrome Mobile 60.0,chrome mobile
Facebook 93,facebook
Opera Mini 6.5,opera
Chrome Mobile 52.0,chrome mobile
Samsung Internet 5.4,samsung
Chrome Mobile 40,chrome mobile
Chrome 39.0,chrome
Opera 51.0,opera
Firefox 48,firefox
Firefox Mobile 59,firefox mobile
Safari 10.1,safari
Samsung Internet 2.1,samsung
Samsung Internet 5,samsung
Facebook 174,facebook
Facebook 154,facebook
Edge Mobile 14.14393,edge mobile
Chrome Mobile 35.0,chrome mobile
Firefox 49,firefox
Chrome Mobile 38.0,chrome mobile
Facebook 86,facebook
Vivaldi 1.96,vivaldi
Firefox 10.0,firefox
UC Browser 12.2,uc
Android 4.2,android
Samsung Internet 5.2,samsung
Chrome 54.0,chrome
Facebook 156,facebook
Opera Mini 33.0,opera
Chrome Mobile 18.0,chrome mobile
Chrome Mobile 47.0,chrome mobile
Edge 14.14393,edge
Firefox 37,firefox
Firefox 45,firefox
Puffin 7.5,puffin
Puffin 7.1,puffin
Samsung Internet 6,samsung
Facebook 90,facebook
Opera Mini 28.0,opera
Chrome Mobile 45.0,chrome mobile
Mobile Safari UI/WKWebView 10.2,mobile safari
Firefox 36,firefox
Mobile Safari UI/WKWebView 10.3,mobile safari
Chrome 30,chrome
Chrome 57.9,chrome
UC Browser 10.10,uc
Chrome Mobile 49.0,chrome mobile
Opera Mini 5.0,opera
Safari 11.0,safari
Edge Mobile 15.15254,edge mobile
Chrome 60.0,chrome
Edge 12.10240,edge
IE 10,ie
Firefox 50,firefox
Chrome 52.0,chrome
Chrome 38.0,chrome
Chrome Mobile 33,chrome mobile
Firefox 51,firefox
Chromium 64.0,chromium
Facebook 158,facebook
Firefox 47,firefox
Mobile Safari 10.3,mobile safari
Chrome 57.14,chrome
UC Browser 11.5,uc
BlackBerry WebKit 10.3,blackberry webkit
Chrome 34.0,chrome
Chrome 58.1,chrome
Edge 15.15063,edge
Chrome Mobile 36.0,chrome mobile
Chrome 53.0,chrome
Chrome 58.8,chrome
Opera 49.0,opera
Opera 36.0,opera
IE Mobile 10,ie mobile
Samsung Internet 2,samsung
Chrome 32.0,chrome
Chrome 48.0,chrome
Firefox 53,firefox
Facebook 155,facebook
Facebook 165,facebook
Mobile Safari 11.2,mobile safari
Chrome 22.0,chrome
Facebook 96,facebook
Facebook 62,facebook
Firefox 38,firefox
Chrome 33,chrome
Firefox 55,firefox
Firefox 56,firefox
Firefox 40,firefox
Firefox 46,firefox
Firefox Mobile 47,firefox mobile
Opera Mobile 33.0,opera mobile
Samsung Internet 7.2,samsung
Chrome Mobile iOS 59.0,chrome mobile
Opera Mini 7.1,opera
Opera 9.80,opera
Chrome 58.2,chrome
Facebook 81,facebook
Yandex Browser 18.4,yandex
Mobile Safari UI/WKWebView 7.1,mobile safari
Chrome Mobile 31.0,chrome mobile
Opera Mobile 46.1,opera mobile
Opera Mobile 45.1,opera mobile
Chrome 26.0,chrome
Mobile Safari 7.1,mobile safari
Mobile Safari 9.3,mobile safari
Firefox 15,firefox
Chromium 25.0,chromium
Mobile Safari UI/WKWebView 11.2,mobile safari
Chrome Mobile 67.0,chrome mobile
Firefox 24,firefox
Chrome 50.0,chrome
Facebook 95,facebook
K-Meleon 76,other
Facebook 135,facebook
Chrome 27.0,chrome
Facebook 87,facebook
Chrome 57.16,chrome
Chromium 65.0,chromium
Chromium 62.0,chromium
Facebook 145,facebook
Facebook 175,facebook
Firefox 31,firefox
Chrome Mobile 42.0,chrome mobile
Facebook 79,facebook
Chrome 47.0,chrome
UC Browser 11.3,uc
Firefox Mobile 58,firefox mobile
Facebook 84,facebook
Safari 8,safari
Facebook 157,facebook
Chrome 11.0,chrome
Chrome Mobile iOS 62.0,chrome mobile
Yandex Browser 18.3,yandex
Mobile Safari 6,mobile safari
Pinterest,pinterest
Chrome 54.8,chrome
Mobile Safari 9.2,mobile safari
Firefox 44,firefox
Chrome 56.13,chrome
Opera Mini 12.0,opera
Opera Mobile 28.0,opera mobile
Firefox 32,firefox
Opera Mini 7.0,opera
Facebook 85,facebook
Chrome Mobile 48.0,chrome mobile
Vivaldi 1.95,vivaldi
Safari 5.1,safari
Safari 9.1,safari
Chrome 30.0,chrome
Mobile Safari 4.0,mobile safari
Facebook 137,facebook
Samsung Internet 1,samsung
Chrome Mobile 26.0,chrome mobile
Facebook 68,facebook
Other,other
Mobile Safari UI/WKWebView 9.3,mobile safari
Facebook 82,facebook
Opera Mini 7.6,opera
UC Browser 10.9,uc
Firefox 35,firefox
Opera Mini 31.0,opera
Opera Mini 30.0,opera
Opera Mobile 46.3,opera mobile
Chrome 57.19,chrome
Maxthon 5.2,maxthon
Chrome 57.12,chrome
Mobile Safari 11.1,mobile safari
Safari 9,safari
Mobile Safari 10.1,mobile safari
Firefox 42,firefox
Chrome 57.18,chrome
Maxthon 5.1,maxthon
Chrome 57.2,chrome
Opera Mini 35.0,opera
Opera 42.0,opera
UC Browser 12,uc
Chrome 57.20,chrome
Chrome Mobile 37,chrome mobile
Firefox 41,firefox
Chrome Mobile iOS 60.0,chrome mobile
Facebook 152,facebook
Android 7,android
Mobile Safari 11.0,mobile safari
Chrome 31.0,chrome
Opera 46.0,opera
Chrome 36.0,chrome
Safari 10.0,safari
Chrome Mobile 33.0,chrome mobile
Firefox 26,firefox
Firefox 33,firefox
Mobile Safari 7.0,mobile safari
Chrome 28.0,chrome
Firefox 39,firefox
Chromium 58.0,chromium
Firefox 61,firefox
Firefox Mobile 61,firefox mobile
Opera 48.0,opera
Android 3.2,android
Chrome 57.17,chrome
Facebook 149,facebook
Chrome 35.0,chrome
Facebook 80,facebook
Facebook 83,facebook
Chrome 56.17,chrome
Puffin 5.2,puffin
Opera Mobile 32.0,opera mobile
Opera Mini 7.5,opera
Chrome 48.4,chrome
Opera 47.0,opera
Facebook 144,facebook
Opera Mini 4.2,opera
Opera Mini 4.5,opera
Edge 17.17133,edge
Opera Mini 32.0,opera
Mobile Safari UI/WKWebView 11.3,mobile safari
Safari 3,safari
Firefox 15.0,firefox
Opera 41.0,opera
Chrome 57.3,chrome
Opera Mobile 25.0,opera mobile
Mobile Safari 5.1,mobile safari
Chrome Mobile 37.0,chrome mobile
Firefox 23,firefox
Chrome 57.7,chrome
Samsung Internet 1.1,samsung
Chrome 57.21,chrome
Safari 4,safari
Facebook 151,facebook
Yandex Browser 18.1,yandex
Safari 10,safari
Chrome 18.0,chrome
Chrome Mobile 34,chrome mobile
Facebook 139,facebook
BingPreview 1,ie
Firefox 28,firefox
Chrome 53.19,chrome
Facebook 97,facebook
Facebook 147,facebook
UC Browser 10.7,uc
Firefox Mobile 57,firefox mobile
Chromium 63.0,chromium
